"bc"	"bp"	"cj"	"fb"	"fsf"	"it"
"Picramnia_glazioviana"	0	0	2	0	0	0
"Picramnia_sp"	0	0	4	0	0	0
"Solanum_(=231)"	0	0	1	0	0	0
"Solanum_mauritianum"	0	0	5	0	0	0
"Symplocos_estrellensis"	0	0	2	0	0	0
"Vernonia_discolor"	0	0	3	0	0	0
"Agarista_oleifolia"	0	13	0	0	0	0
"Ilex_chamaedryfolia"	0	16	0	0	0	0
"Jacaranda_cuspidifolia"	0	5	0	0	0	0
"Miconia_budlejoides"	0	7	0	0	0	0
"Moquiniastrum_polymorphum"	0	8	0	0	0	0
"Myrceugenia_bracteosa"	0	249	0	0	0	0
"Myrceugenia_regnelliana"	0	16	0	0	0	0
"Myrcia_subcordata"	0	11	0	0	0	0
"Myrsine_gardneriana"	0	7	0	0	0	0
"Myrsine_lancifolia"	0	5	0	0	0	0
"Siphoneugena_crassifolia"	0	5	0	0	0	0
"Ternstroemia_brasiliensis"	0	2	0	0	0	0
"Anadenanthera_sp."	6	0	0	0	0	0
"Bunchosia_pallescens"	3	0	0	0	0	0
"Campomanesia_sp."	1	0	0	0	0	0
"Campomanesia_sp.2"	8	0	0	0	0	0
"Capsicodendron_dinisii"	1	0	0	0	0	0
"Cinnamomum_sp.1"	1	0	0	0	0	0
"Coccoloba_warmingii"	16	0	0	0	0	0
"Cordia_sp."	3	0	0	0	0	0
"Coutarea_hexandra"	1	0	0	0	0	0
"Cupania_oblongifolia"	103	0	0	0	0	0
"Enterolobium_sp."	2	0	0	0	0	0
"Erythrina_falcata"	7	0	0	0	0	0
"Erythroxylum_cuneifolium"	2	0	0	0	0	0
"Eugenia_cerasiflora"	37	0	0	0	0	0
"Eugenia_involucrata"	26	0	0	0	0	0
"Eugenia_neoverrucosa"	85	0	0	0	0	0
"Eugenia_sp.2"	7	0	0	0	0	0
"Eugenia_speciosa"	1	0	0	0	0	0
"Eugenia_stictosepala"	2	0	0	0	0	0
"Ficus_sp."	1	0	0	0	0	0
"Guatteria_hilariana"	4	0	0	0	0	0
"Guatteria_nigrescens"	24	0	0	0	0	0
"Ilex_amara"	1	0	0	0	0	0
"Licania_kunthiana"	3	0	0	0	0	0
"Lonchocarpus_campestris"	5	0	0	0	0	0
"Lonchocarpus_cultratus"	5	0	0	0	0	0
"Machaerium_hatschbachii"	12	0	0	0	0	0
"Machaerium_minutiflorum"	1	0	0	0	0	0
"Machaerium_sp."	6	0	0	0	0	0
"Machaerium_vestitum"	37	0	0	0	0	0
"Maytenus_sp.1"	8	0	0	0	0	0
"Meliosma_sp."	1	0	0	0	0	0
"Miconia_sp."	1	0	0	0	0	0
"Micrandra_sp."	1	0	0	0	0	0
"Myrceugenia_campestris"	13	0	0	0	0	0
"Myrcia_tenuivenosa"	1	0	0	0	0	0
"Myrcia_tomentosa"	14	0	0	0	0	0
"Nectandra_angustifolia"	2	0	0	0	0	0
"Ocotea_brachybotra"	18	0	0	0	0	0
"Ocotea_nutans"	69	0	0	0	0	0
"Ocotea_sp."	9	0	0	0	0	0
"Persea_sp."	2	0	0	0	0	0
"Picramnia_sellowii"	1	0	0	0	0	0
"Picramnia_sp.2"	1	0	0	0	0	0
"Pithecellobium_langsdorffii"	1	0	0	0	0	0
"Poecilanthe_parviflora"	3	0	0	0	0	0
"Pouteria_gardneri"	1	0	0	0	0	0
"Psidum_sp.1"	1	0	0	0	0	0
"Psychotria_longipes"	14	0	0	0	0	0
"Rollinia_silvatica"	8	0	0	0	0	0
"Roupala_brasiliensis"	9	0	0	0	0	0
"Schinus_terebenthifolius"	8	0	0	0	0	0
"Senna_multijuga"	2	0	0	0	0	0
"Solanum_rufescens"	16	0	0	0	0	0
"Strichnos_brasiliensis"	3	0	0	0	0	0
"Swartzia_acutifolia"	118	0	0	0	0	0
"Symplocos_pubescens"	1	0	0	0	0	0
"Tetrastylidium_grandifolium"	1	0	0	0	0	0
"Vernonia_sp."	5	0	0	0	0	0
"Vitex_polygama"	10	0	0	0	0	0
"Vochysia_bifalcata"	1	0	0	0	0	0
"Xylopia_langsdorffiana"	1	0	0	0	0	0
"Zeyheria_tuberculosa"	1	0	0	0	0	0
"Acacia_polyphylla"	0	0	0	0	0	1
"Actinostemon_concepcionis"	0	0	0	0	0	25
"Agonandra_brasiliensis"	0	0	0	0	0	6
"Alibertia_concolor"	0	0	0	0	0	7
"Amaioua_intermedia"	0	0	0	0	0	1
"Aspidosperma_polyneurum"	0	0	0	0	0	19
"Astronium_graveolens"	0	0	0	0	0	7
"Calyptranthes_grandifolia"	0	0	0	0	0	3
"Casearia_gossypiosperma"	0	0	0	0	0	16
"Cecropia_glaziovii"	0	0	0	0	0	2
"Cecropia_pachystachya"	0	0	0	0	0	1
"Ceiba_speciosa"	0	0	0	0	0	1
"Cestrum_intermedium"	0	0	0	0	0	1
"Chionanthus_filiformis"	0	0	0	0	0	7
"Chomelia_obtusa"	0	0	0	0	0	3
"Chrysophyllum_gonocarpum"	0	0	0	0	0	5
"Colubrina_glandulosa"	0	0	0	0	0	2
"Copaifera_trapezifolia"	0	0	0	0	0	21
"Croton_floribundus"	0	0	0	0	0	13
"Cupania_tenuivalvis"	0	0	0	0	0	8
"Dendropanax_cuneatus"	0	0	0	0	0	22
"Diatenopteryx_sorbifolia"	0	0	0	0	0	7
"Erythroxyllum_sp"	0	0	0	0	0	2
"Eugenia_dodonaeifolia"	0	0	0	0	0	5
"Eugenia_stenophylla"	0	0	0	0	0	26
"Eugenia_uniflora"	0	0	0	0	0	5
"Euterpe_edulis"	0	0	0	0	0	88
"Faramea_montevidensis"	0	0	0	0	0	28
"Ficus_luschnathiana"	0	0	0	0	0	2
"Guarea_macrophylla"	0	0	0	0	0	1
"Helietta_apiculata"	0	0	0	0	0	10
"Holocalyx_glaziovii"	0	0	0	0	0	2
"Inga_marginata"	0	0	0	0	0	10
"Inga_sessilis"	0	0	0	0	0	2
"Inga_striata"	0	0	0	0	0	18
"Ixora_venulosa"	0	0	0	0	0	2
"Jacaranda_micrantha"	0	0	0	0	0	19
"Jacaratia_heptaphylla"	0	0	0	0	0	13
"Lithraea_molleoides"	0	0	0	0	0	3
"Machaerium_paraguariense"	0	0	0	0	0	26
"Miconia_doriana"	0	0	0	0	0	1
"Miconia_hymenonervia"	0	0	0	0	0	1
"Miconia_petropolitana"	0	0	0	0	0	3
"Miconia_tristis"	0	0	0	0	0	1
"Mollinedia_elegans"	0	0	0	0	0	22
"Mollinedia_schottiana"	0	0	0	0	0	1
"Myrciaria_rivularis"	0	0	0	0	0	6
"Nectandra_lanceolata"	0	0	0	0	0	5
"Nectandra_megapotamica"	0	0	0	0	0	8
"Ocotea_prolifera"	0	0	0	0	0	2
"Ocotea_teleiandra"	0	0	0	0	0	1
"Parapiptadenia_rigida"	0	0	0	0	0	29
"Patagonula_americana"	0	0	0	0	0	7
"Pera_glabrata"	0	0	0	0	0	2
"Pilocarpus_pennatifolius"	0	0	0	0	0	17
"Plinia_cauliflora"	0	0	0	0	0	1
"Porcelia_macrocarpa"	0	0	0	0	0	1
"Pouteria_gardneriana"	0	0	0	0	0	1
"Pseudobombax_grandiflorum"	0	0	0	0	0	1
"Psychotria_suterella"	0	0	0	0	0	10
"Rapanea_loefgrenii"	0	0	0	0	0	7
"Rhamnidium_elaeocarpum"	0	0	0	0	0	7
"Schefflera_angustissima"	0	0	0	0	0	1
"Seguieria_langsdorffii"	0	0	0	0	0	2
"Solanum_argentum"	0	0	0	0	0	1
"Solanum_sanctae-catharinae"	0	0	0	0	0	12
"Styrax_camporum"	0	0	0	0	0	1
"Styrax_pohlii"	0	0	0	0	0	3
"Tabernaemontana_laeta"	0	0	0	0	0	1
"Tapirira_guianensis"	0	0	0	0	0	5
"Terminalia_triflora"	0	0	0	0	0	1
"Tetrorchidium_rubrivenium"	0	0	0	0	0	7
"Trema_micrantha"	0	0	0	0	0	16
"Trichilia_catigua"	0	0	0	0	0	50
"Trichilia_claussenii"	0	0	0	0	0	22
"Trichilia_pallida"	0	0	0	0	0	2
"Vochysia_magnifica"	0	0	0	0	0	3
"Xylopia_brasiliensis"	0	0	0	0	0	1
"Xylosma_tweediana"	0	0	0	0	0	9
"Zanthoxylum_caribaeum"	0	0	0	0	0	4
"Zanthoxylum_fagara"	0	0	0	0	0	1
"Zanthoxylum_monogynum"	0	0	0	0	0	6
"Annona_emarginata"	0	0	0	0	3	0
"Chromolaena_pedunculosa"	0	0	0	0	1	0
"Cinnamomum_glaziovii"	0	0	0	0	1	0
"Cinnamomum_triplinerve"	0	0	0	0	2	0
"Cordiera_myricifolia"	0	0	0	0	5	0
"Croton_macrobothrys"	0	0	0	0	1	0
"Jacaranda_sp"	0	0	0	0	1	0
"Neomitranthes_sp"	0	0	0	0	4	0
"Persea_microneura"	0	0	0	0	2	0
"Rudgea_triflora"	0	0	0	0	22	0
"Solanum_concinnum"	0	0	0	0	1	0
"Vernonanthura_discolor"	0	0	0	0	1	0
"Weinmannia_paulliniifolia"	0	0	0	0	3	0
"Annona_mucosa"	0	0	0	8	0	0
"Annona_sylvatica"	0	0	0	1	0	0
"Aspidosperma_olivaceum"	0	0	0	2	0	0
"Baccharis_oblongifolia"	0	0	0	22	0	0
"Blepharocalyx_salicifolius"	0	0	0	7	0	0
"Calyptranthes_sp."	0	0	0	1	0	0
"Campomanesia_eugenioides"	0	0	0	2	0	0
"Critoniopsis_stellata"	0	0	0	20	0	0
"Dalbergia_myriantha"	0	0	0	3	0	0
"Daphnopsis_sellowiana"	0	0	0	1	0	0
"Eugenia_(laranja)"	0	0	0	1	0	0
"Eugenia_(miuda, branca)"	0	0	0	1	0	0
"Eugenia_neoformosa"	0	0	0	1	0	0
"Eugenia_pluriflora"	0	0	0	106	0	0
"Eugenia_sp."	0	0	0	1	0	0
"Eugenia_sp.7"	0	0	0	3	0	0
"Faramea_sp."	0	0	0	28	0	0
"Gochnatia_polymorpha"	0	0	0	7	0	0
"Handroanthus_ochraceus"	0	0	0	1	0	0
