"Fam"	"Distri"	"binom"	"n_MF1"	"n_MF2"	"n_MF3"	"n_MF4"	"n_MF5"	"n_MF6"	"biomass_total_MF1"	"biomass_total_MF2"	"biomass_total_MF3"	"biomass_total_MF4"	"biomass_total_MF5"	"biomass_total_MF6"
"188"	"Monimiaceae"	"Trop"	"Mollinedia_argyrogyna"	NA	2	NA	NA	2	NA	NA	7,41977053365502e-05	NA	NA	2,4178482075829e-05	NA
"127"	"Monimiaceae"	"Trop"	"Mollinedia_elegans"	NA	22	NA	NA	NA	NA	NA	0,000375489547418798	NA	NA	NA	NA
"204"	"Monimiaceae"	"Trop"	"Mollinedia_schottiana"	NA	1	NA	NA	NA	NA	NA	8,52651656215032e-06	NA	NA	NA	NA
"184"	"Moraceae"	"Trop"	"Ficus_luschnathiana"	NA	2	NA	NA	NA	NA	NA	0,000187426148621536	NA	NA	NA	NA
"97"	"Moraceae"	"Trop"	"Ficus_sp."	1	NA	NA	NA	NA	NA	4,7378563165924e-05	NA	NA	NA	NA	NA
"111"	"Moraceae"	"Trop"	"Sorocea_bonplandii"	1	187	NA	NA	14	NA	2,23282642469083e-05	0,00917438508354996	NA	NA	0,000342615632405757	NA
"300"	"Myrtaceae"	"Trop"	"Blepharocalyx_salicifolius"	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	0,000359038413989788	NA
"252"	"Myrtaceae"	"Trop"	"Calyptranthes_(=1475 coletado)"	NA	NA	2	NA	NA	NA	NA	NA	3,82809103367552e-05	NA	NA	NA
"173"	"Myrtaceae"	"Trop"	"Calyptranthes_grandifolia"	NA	3	NA	NA	NA	NA	NA	3,81217518336765e-05	NA	NA	NA	NA
"240"	"Myrtaceae"	"Trop"	"Calyptranthes_lucida"	NA	NA	6	NA	NA	NA	NA	NA	0,00121177129347004	NA	NA	NA
"313"	"Myrtaceae"	"Trop"	"Calyptranthes_sp."	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1,41111313429689e-05	NA
"275"	"Myrtaceae"	"Trop"	"Calyptranthes_widgreniana"	NA	NA	NA	2	22	NA	NA	NA	NA	0,000116420792482428	0,000635886822867908	NA
"310"	"Myrtaceae"	"Trop"	"Campomanesia_eugenioides"	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	7,36303468768398e-05	NA
"137"	"Myrtaceae"	"Trop"	"Campomanesia_guazumifolia"	NA	15	NA	NA	14	NA	NA	0,00130448611218073	NA	NA	0,000420410776470927	NA
"91"	"Myrtaceae"	"Trop"	"Campomanesia_sp."	1	NA	NA	NA	NA	NA	2,52797841848875e-05	NA	NA	NA	NA	NA
"42"	"Myrtaceae"	"Trop"	"Campomanesia_sp.2"	8	NA	NA	NA	NA	NA	0,000369284435079859	NA	NA	NA	NA	NA
"12"	"Myrtaceae"	"Trop"	"Campomanesia_xanthocarpa"	49	4	NA	NA	NA	NA	0,00437837779016939	0,00047777724378092	NA	NA	NA	NA
"315"	"Myrtaceae"	"Trop"	"Eugenia_(laranja)"	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	0,000493705373618068	NA
"316"	"Myrtaceae"	"Trop"	"Eugenia_(miuda, branca)"	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1,63576312767241e-05	NA
"17"	"Myrtaceae"	"Trop"	"Eugenia_cerasiflora"	37	NA	NA	NA	NA	NA	0,00279726432849095	NA	NA	NA	NA	NA
"166"	"Myrtaceae"	"Trop"	"Eugenia_dodonaeifolia"	NA	5	NA	NA	NA	NA	NA	0,00016440602621505	NA	NA	NA	NA
"21"	"Myrtaceae"	"Trop"	"Eugenia_involucrata"	26	NA	NA	NA	NA	NA	0,00111515781682616	NA	NA	NA	NA	NA
"39"	"Myrtaceae"	"Trop"	"Eugenia_ligustrina"	9	102	2	NA	16	NA	0,000338312943356176	0,00431736633340522	0,000180940856949737	NA	0,000897960883093753	NA
"317"	"Myrtaceae"	"Trop"	"Eugenia_neoformosa"	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	4,03742847268764e-05	NA
"8"	"Myrtaceae"	"Trop"	"Eugenia_neoverrucosa"	85	NA	NA	NA	NA	NA	0,00277019323473785	NA	NA	NA	NA	NA
"286"	"Myrtaceae"	"Trop"	"Eugenia_pluriflora"	NA	NA	NA	NA	106	NA	NA	NA	NA	NA	0,00306164926448148	NA
"175"	"Myrtaceae"	"Trop"	"Eugenia_ramboi"	NA	3	NA	NA	76	NA	NA	0,000750804640944014	NA	NA	0,00498399999694585	NA
"318"	"Myrtaceae"	"Trop"	"Eugenia_sp."	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	4,81335914121239e-05	NA
"47"	"Myrtaceae"	"Trop"	"Eugenia_sp.2"	7	NA	NA	NA	NA	NA	0,000226749869696875	NA	NA	NA	NA	NA
"307"	"Myrtaceae"	"Trop"	"Eugenia_sp.7"	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	0,000152551600716341	NA
"96"	"Myrtaceae"	"Trop"	"Eugenia_speciosa"	1	NA	NA	NA	NA	NA	1,15536783101735e-05	NA	NA	NA	NA	NA
"123"	"Myrtaceae"	"Trop"	"Eugenia_stenophylla"	NA	26	NA	NA	NA	NA	NA	0,00269038965647776	NA	NA	NA	NA
"82"	"Myrtaceae"	"Trop"	"Eugenia_stictosepala"	2	NA	NA	NA	NA	NA	2,17621487646208e-05	NA	NA	NA	NA	NA
"167"	"Myrtaceae"	"Trop"	"Eugenia_uniflora"	NA	5	NA	NA	NA	NA	NA	9,9455116821922e-05	NA	NA	NA	NA
"263"	"Myrtaceae"	"Trop"	"Myciaria_tenella"	NA	NA	1	NA	NA	NA	NA	NA	1,55625167274486e-05	NA	NA	NA
"329"	"Myrtaceae"	"Temp"	"Myrceugenia_bracteosa"	NA	NA	NA	NA	NA	249	NA	NA	NA	NA	NA	0,0108069069332686
"60"	"Myrtaceae"	"Temp"	"Myrceugenia_brevipedicellata"	5	NA	3	NA	NA	NA	0,000132793873656521	NA	6,6908634501008e-05	NA	NA	NA
"32"	"Myrtaceae"	"Temp"	"Myrceugenia_campestris"	13	NA	NA	NA	NA	NA	0,000307303558379526	NA	NA	NA	NA	NA
"225"	"Myrtaceae"	"Temp"	"Myrceugenia_miersiana"	NA	NA	411	30	10	NA	NA	NA	0,02371073901277	0,00146584824605535	0,000238829374891756	NA
"247"	"Myrtaceae"	"Temp"	"Myrceugenia_ovata"	NA	NA	4	NA	NA	NA	NA	NA	0,000113513895907917	NA	NA	NA
"331"	"Myrtaceae"	"Temp"	"Myrceugenia_regnelliana"	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NA	0,000169104362203962
"232"	"Myrtaceae"	"Temp"	"Myrceugenia_rufescens"	NA	NA	52	69	13	NA	NA	NA	0,00926169348078966	0,0206839984150342	0,00037403396705704	NA
"322"	"Myrtaceae"	"Temp"	"Myrceugenia_scutellata"	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1,16597889789819e-05	NA
"237"	"Myrtaceae"	"Temp"	"Myrceugenia_sp. 2"	NA	NA	20	NA	NA	NA	NA	NA	0,00155667315019163	NA	NA	NA
"323"	"Myrtaceae"	"Trop"	"Myrcia_aethusa"	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	2,68511305569326e-05	NA
"296"	"Myrtaceae"	"Trop"	"Myrcia_bicarinata"	NA	NA	NA	NA	17	NA	NA	NA	NA	NA	0,000970847075106129	NA
"287"	"Myrtaceae"	"Trop"	"Myrcia_guianensis"	NA	NA	NA	NA	51	1	NA	NA	NA	NA	0,00273322430335585	2,51298517577964e-05
"227"	"Myrtaceae"	"Trop"	"Myrcia_hartwegiana"	NA	NA	167	112	13	NA	NA	NA	0,00453050503524493	0,00699709864132296	0,000196964245872895	NA
"178"	"Myrtaceae"	"Trop"	"Myrcia_laruotteana"	NA	3	64	NA	114	73	NA	0,000103819573505045	0,00729580148453745	NA	0,00543171031168431	0,00312325721185861
"20"	"Myrtaceae"	"Trop"	"Myrcia_multiflora"	32	7	NA	NA	1	NA	0,00129326646650512	0,000323718797935995	NA	NA	1,68942100429712e-05	NA
"205"	"Myrtaceae"	"Trop"	"Myrcia_pulchra"	NA	1	NA	1	62	NA	NA	6,24204726802787e-05	NA	7,72014300446572e-06	0,00647945602739099	NA
"233"	"Myrtaceae"	"Trop"	"Myrcia_retorta"	NA	NA	35	1	NA	NA	NA	NA	0,00889563811030084	4,35630916989145e-05	NA	NA
"85"	"Myrtaceae"	"Trop"	"Myrcia_rostrata"	2	4	NA	NA	NA	NA	0,000114161451124064	0,000168861827379788	NA	NA	NA	NA
"249"	"Myrtaceae"	"Trop"	"Myrcia_splendens"	NA	NA	3	1	16	NA	NA	NA	6,1361740741518e-05	9,40537600400814e-06	0,000526751961122099	NA
"333"	"Myrtaceae"	"Trop"	"Myrcia_subcordata"	NA	NA	NA	NA	NA	11	NA	NA	NA	NA	NA	0,000405813908323128
"103"	"Myrtaceae"	"Trop"	"Myrcia_tenuivenosa"	1	NA	NA	NA	NA	NA	9,69571204270323e-06	NA	NA	NA	NA	NA
"30"	"Myrtaceae"	"Trop"	"Myrcia_tomentosa"	14	NA	NA	NA	NA	NA	0,000374667558919811	NA	NA	NA	NA	NA
"297"	"Myrtaceae"	"Trop"	"Myrcia_venulosa"	NA	NA	NA	NA	14	20	NA	NA	NA	NA	0,00120521161384386	0,000474012635834575
"161"	"Myrtaceae"	"Trop"	"Myrciaria_rivularis"	NA	6	NA	NA	NA	NA	NA	0,000161166327855996	NA	NA	NA	NA
"235"	"Myrtaceae"	"Trop"	"Myrciaria_tenella"	NA	NA	22	NA	NA	NA	NA	NA	0,00035624924717643	NA	NA	NA
"298"	"Myrtaceae"	"Trop"	"Neomitranthes_pedicellata"	NA	NA	NA	NA	12	NA	NA	NA	NA	NA	0,000457181244631382	NA
"272"	"Myrtaceae"	"Trop"	"Neomitranthes_sp"	NA	NA	NA	4	NA	NA	NA	NA	NA	0,00021977397509313	NA	NA
"265"	"Myrtaceae"	"Trop"	"Pimenta_pseudocaryophyllus"	NA	NA	1	NA	NA	2	NA	NA	1,00758123062754e-05	NA	NA	0,00016281028248307
"211"	"Myrtaceae"	"Trop"	"Plinia_cauliflora"	NA	1	NA	NA	NA	NA	NA	1,07356907281922e-05	NA	NA	NA	NA
"326"	"Myrtaceae"	"Trop"	"Plinia_rivularis"	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	5,49328733547701e-05	NA
"308"	"Myrtaceae"	"Trop"	"Psidium_sp."	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	0,000212374606237058	NA
"110"	"Myrtaceae"	"Trop"	"Psidum_sp.1"	1	NA	NA	NA	NA	NA	1,57151154355106e-05	NA	NA	NA	NA	NA
"340"	"Myrtaceae"	"Trop"	"Siphoneugena_crassifolia"	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	8,36418329743358e-05
"302"	"Myrtaceae"	"Trop"	"Siphoneugena_densiflora"	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	0,000112669304807874	NA
"239"	"Myrtaceae"	"Trop"	"Siphoneugena_reitzii"	NA	NA	9	10	1	NA	NA	NA	0,000125963514993007	0,000111880626645435	3,31743356086532e-05	NA
"53"	"Nyctaginaceae"	"Trop"	"Guapira_opposita"	6	3	NA	NA	1	NA	0,00313236244108473	1,6830142311605e-05	NA	NA	1,6265392854554e-05	NA
"113"	"Olacaceae"	"Trop"	"Tetrastylidium_grandifolium"	1	NA	NA	NA	NA	NA	3,7382250457269e-05	NA	NA	NA	NA	NA
"152"	"Oleaceae"	"Trop"	"Chionanthus_filiformis"	NA	7	NA	NA	NA	NA	NA	0,000236499849055909	NA	NA	NA	NA
"159"	"Opiliaceae"	"Trop"	"Agonandra_brasiliensis"	NA	6	NA	NA	NA	NA	NA	0,00138240748041714	NA	NA	NA	NA
"341"	"Pentaphylacaceae"	"Trop"	"Ternstroemia_brasiliensis"	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	0,000163313368146099
"190"	"Peraceae"	"Trop"	"Pera_glabrata"	NA	2	NA	NA	NA	NA	NA	0,00073072732692316	NA	NA	NA	NA
"191"	"Phytolaccaceae"	"Trop"	"Seguieria_langsdorffii"	NA	2	NA	NA	NA	NA	NA	0,000127951982456727	NA	NA	NA	NA
"256"	"Picramniaceae"	"Trop"	"Picramnia_glazioviana"	NA	NA	2	NA	NA	NA	NA	NA	0,000100415283346943	NA	NA	NA
"236"	"Picramniaceae"	"Trop"	"Picramnia_parvifolia"	NA	NA	22	NA	2	NA	NA	NA	0,000619031222771581	NA	0,00010389748734302	NA
"105"	"Picramniaceae"	"Trop"	"Picramnia_sellowii"	1	NA	NA	NA	NA	NA	6,96229059647784e-06	NA	NA	NA	NA	NA
"248"	"Picramniaceae"	"Trop"	"Picramnia_sp"	NA	NA	4	NA	NA	NA	NA	NA	0,00010572621662248	NA	NA	NA
"106"	"Picramniaceae"	"Trop"	"Picramnia_sp.2"	1	NA	NA	NA	NA	NA	8,93667354035726e-05	NA	NA	NA	NA	NA
"231"	"Podocarpaceae"	"Temp"	"Podocarpus_lambertii"	NA	NA	53	59	34	239	NA	NA	0,0929404481835232	0,0334998520257434	0,00664489299441514	0,0592401231981763
"28"	"Polygonaceae"	"Trop"	"Coccoloba_warmingii"	16	NA	NA	NA	NA	NA	0,00174357654143804	NA	NA	NA	NA	NA
"242"	"Primulaceae"	"Trop"	"Myrsine_coriacea"	NA	NA	6	NA	NA	6	NA	NA	0,0013785073544856	NA	NA	0,00035236032176492
"337"	"Primulaceae"	"Trop"	"Myrsine_gardneriana"	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	0,000757493095725288
"339"	"Primulaceae"	"Trop"	"Myrsine_lancifolia"	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	0,000535039452002341
"206"	"Primulaceae"	"Trop"	"Myrsine_umbellata"	NA	1	106	80	44	105	NA	9,8237699068329e-06	0,0166762718741652	0,00631155798498611	0,00189780074162259	0,00598454136583146
"155"	"Primulaceae"	"Trop"	"Rapanea_loefgrenii"	NA	7	NA	NA	NA	NA	NA	0,000198229062815347	NA	NA	NA	NA
"34"	"Primulaceae"	"Trop"	"Rapanea_umbellata"	11	3	NA	NA	NA	NA	0,000163400714356676	0,000180926626838965	NA	NA	NA	NA
"41"	"Proteaceae"	"Trop"	"Roupala_brasiliensis"	9	NA	NA	NA	NA	NA	0,00121471011773847	NA	NA	NA	NA	NA
"267"	"Proteaceae"	"Trop"	"Roupala_montana"	NA	NA	1	1	60	NA	NA	NA	1,17907977042308e-05	7,49008019625501e-06	0,0025314705012398	NA
"182"	"Rhamnaceae"	"Trop"	"Colubrina_glandulosa"	NA	2	NA	NA	NA	NA	NA	0,000198663004306808	NA	NA	NA	NA
"156"	"Rhamnaceae"	"Trop"	"Rhamnidium_elaeocarpum"	NA	7	NA	NA	NA	NA	NA	0,000163373944862015	NA	NA	NA	NA
"244"	"Rhamnaceae"	"Temp"	"Rhamnus_sphaerosperma"	NA	NA	6	10	3	5	NA	NA	0,000169495024656786	0,000710173314212871	3,10604136486909e-05	4,87642246615101e-05
"16"	"Rosaceae"	"Temp"	"Prunus_myrtifolia"	40	10	94	74	23	8	0,00946581144930089	0,000424507819018852	0,0126598488682771	0,00535409741560829	0,0015285961107143	0,000483584561562164
"150"	"Rubiaceae"	"Trop"	"Alibertia_concolor"	NA	7	NA	NA	NA	NA	NA	0,000169330205855156	NA	NA	NA	NA
"38"	"Rubiaceae"	"Trop"	"Alibertia_myrciifolia"	9	3	NA	NA	NA	NA	9,94716748591456e-05	3,10318451430819e-05	NA	NA	NA	NA
"195"	"Rubiaceae"	"Trop"	"Amaioua_intermedia"	NA	1	NA	NA	NA	NA	NA	5,02694303083037e-05	NA	NA	NA	NA
"174"	"Rubiaceae"	"Trop"	"Chomelia_obtusa"	NA	3	NA	NA	NA	NA	NA	7,75125031808979e-05	NA	NA	NA	NA
"271"	"Rubiaceae"	"Trop"	"Cordiera_myricifolia"	NA	NA	NA	5	NA	NA	NA	NA	NA	4,52781161782593e-05	NA	NA
"95"	"Rubiaceae"	"Trop"	"Coutarea_hexandra"	1	NA	NA	NA	NA	NA	5,92861096639001e-05	NA	NA	NA	NA	NA
"122"	"Rubiaceae"	"Trop"	"Faramea_montevidensis"	NA	28	NA	NA	NA	NA	NA	0,000374179195184039	NA	NA	NA	NA
"288"	"Rubiaceae"	"Trop"	"Faramea_sp."	NA	NA	NA	NA	28	NA	NA	NA	NA	NA	0,000859091536937296	NA
"187"	"Rubiaceae"	"Trop"	"Ixora_venulosa"	NA	2	NA	NA	NA	NA	NA	2,77074138225633e-05	NA	NA	NA	NA
"31"	"Rubiaceae"	"Trop"	"Psychotria_longipes"	14	NA	NA	NA	NA	NA	0,000218470628317666	NA	NA	NA	NA	NA
"144"	"Rubiaceae"	"Trop"	"Psychotria_suterella"	NA	10	NA	NA	NA	NA	NA	0,000116213288283842	NA	NA	NA	NA
"266"	"Rubiaceae"	"Trop"	"Psychotria_vellosiana"	NA	NA	1	NA	65	NA	NA	NA	3,78031273379978e-06	NA	0,000377200465582855	NA
"327"	"Rubiaceae"	"Trop"	"Rudgea_gardenoides"	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	2,5131483164044e-05	NA
"118"	"Rubiaceae"	"Trop"	"Rudgea_jasminoides"	NA	54	NA	NA	23	NA	NA	0,00125584197345083	NA	NA	0,000273162433759737	NA
"270"	"Rubiaceae"	"Trop"	"Rudgea_triflora"	NA	NA	NA	22	NA	NA	NA	NA	NA	0,000268328672212813	NA	NA
"142"	"Rutaceae"	"Trop"	"Helietta_apiculata"	NA	10	NA	NA	NA	NA	NA	0,00475546063138068	NA	NA	NA	NA
"134"	"Rutaceae"	"Trop"	"Pilocarpus_pennatifolius"	NA	17	NA	NA	NA	NA	NA	0,000837727810067241	NA	NA	NA	NA
"172"	"Rutaceae"	"Trop"	"Zanthoxylum_caribaeum"	NA	4	NA	NA	NA	NA	NA	9,21524833999776e-05	NA	NA	NA	NA
"224"	"Rutaceae"	"Trop"	"Zanthoxylum_fagara"	NA	1	NA	NA	NA	NA	NA	0,000854594240692806	NA	NA	NA	NA
"163"	"Rutaceae"	"Trop"	"Zanthoxylum_monogynum"	NA	6	NA	NA	NA	NA	NA	0,00131420913676742	NA	NA	NA	NA
"251"	"Rutaceae"	"Trop"	"Zanthoxylum_rhoifolium"	NA	NA	3	NA	5	NA	NA	NA	0,000759449242684399	NA	4,92752265701991e-05	NA
"100"	"Sabiaceae"	"Trop"	"Meliosma_sp."	1	NA	NA	NA	NA	NA	4,51402364292487e-06	NA	NA	NA	NA	NA
"24"	"Salicaceae"	"Trop"	"Casearia_decandra"	23	3	2	1	19	NA	0,00107543996167591	4,5690788036089e-05	5,75762986980849e-05	6,76993049009614e-06	0,000539683665170287	NA
"135"	"Salicaceae"	"Trop"	"Casearia_gossypiosperma"	NA	16	NA	NA	NA	NA	NA	0,00745138024229709	NA	NA	NA	NA
"93"	"Salicaceae"	"Trop"	"Casearia_lasiophylla"	1	NA	NA	NA	2	NA	5,96613068527986e-05	NA	NA	NA	1,79144864231019e-05	NA
"62"	"Salicaceae"	"Trop"	"Casearia_obliqua"	4	8	NA	NA	8	NA	0,000552217788571395	0,00102205440314962	NA	NA	0,00158353360231786	NA
"14"	"Salicaceae"	"Trop"	"Casearia_sylvestris"	44	29	NA	NA	42	NA	0,00460348717141079	0,00434702761954352	NA	NA	0,00138472649244786	NA
"73"	"Salicaceae"	"Trop"	"Prockia_crucis"	3	5	NA	NA	NA	NA	3,31655256168472e-05	0,000234025950834221	NA	NA	NA	NA
"90"	"Salicaceae"	"Trop"	"Xylosma_ciliatifolia"	2	NA	NA	NA	6	NA	1,97837657628551e-05	NA	NA	NA	0,000562320268666222	NA
"147"	"Salicaceae"	"Trop"	"Xylosma_tweediana"	NA	9	NA	NA	NA	NA	NA	0,00450653248876202	NA	NA	NA	NA
"7"	"Sapindaceae"	"Trop"	"Allophylus_edulis"	85	20	NA	NA	8	20	0,000793272830366287	0,00187405136540649	NA	NA	0,000233444260743968	0,000738039890884674
"6"	"Sapindaceae"	"Trop"	"Cupania_oblongifolia"	103	NA	NA	NA	NA	NA	0,00650829032254457	NA	NA	NA	NA	NA
"148"	"Sapindaceae"	"Trop"	"Cupania_tenuivalvis"	NA	8	NA	NA	NA	NA	NA	0,000332342058089337	NA	NA	NA	NA
"36"	"Sapindaceae"	"Trop"	"Cupania_vernalis"	10	1	NA	NA	NA	NA	0,000757254696779886	3,93902505423648e-05	NA	NA	NA	NA
"153"	"Sapindaceae"	"Trop"	"Diatenopteryx_sorbifolia"	NA	7	NA	NA	NA	NA	NA	0,00979074641957665	NA	NA	NA	NA
"2"	"Sapindaceae"	"Trop"	"Matayba_elaeagnoides"	163	30	NA	NA	394	NA	0,0661568852317933	0,0167194226995252	NA	NA	0,0310368872360705	NA
"165"	"Sapotaceae"	"Trop"	"Chrysophyllum_gonocarpum"	NA	5	NA	NA	NA	NA	NA	0,000269762507340538	NA	NA	NA	NA
"35"	"Sapotaceae"	"Trop"	"Chrysophyllum_marginatum"	10	1	NA	NA	NA	NA	0,00136602559889816	0,000143244491197388	NA	NA	NA	NA
"109"	"Sapotaceae"	"Trop"	"Pouteria_gardneri"	1	NA	NA	NA	NA	NA	0,000180615644383101	NA	NA	NA	NA	NA
"213"	"Sapotaceae"	"Trop"	"Pouteria_gardneriana"	NA	1	NA	NA	NA	NA	NA	0,000128112698984558	NA	NA	NA	NA
"325"	"Simaroubaceae"	"Temp"	"Picrasma_crenata"	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	4,56562006968928e-05	NA
"198"	"Solanaceae"	"Trop"	"Cestrum_intermedium"	NA	1	NA	NA	NA	NA	NA	3,03352484051757e-05	NA	NA	NA	NA
"268"	"Solanaceae"	"Trop"	"Solanum_(=231)"	NA	NA	1	NA	NA	NA	NA	NA	0,000179577250585679	NA	NA	NA
"216"	"Solanaceae"	"Trop"	"Solanum_argentum"	NA	1	NA	NA	NA	NA	NA	6,22136692825811e-06	NA	NA	NA	NA
"217"	"Solanaceae"	"Trop"	"Solanum_bullatum"	NA	1	NA	NA	3	NA	NA	0,0002526558925755	NA	NA	0,000204247032536649	NA
"283"	"Solanaceae"	"Trop"	"Solanum_concinnum"	NA	NA	NA	1	NA	NA	NA	NA	NA	2,67421316759845e-05	NA	NA
"246"	"Solanaceae"	"Trop"	"Solanum_mauritianum"	NA	NA	5	NA	NA	NA	NA	NA	2,75345925990199e-05	NA	NA	NA
"64"	"Solanaceae"	"Trop"	"Solanum_pseudoquina"	4	1	4	NA	NA	NA	3,76021327916566e-05	1,72712837127186e-05	8,55121311090259e-05	NA	NA	NA
"29"	"Solanaceae"	"Trop"	"Solanum_rufescens"	16	NA	NA	NA	NA	NA	0,0005828183692701	NA	NA	NA	NA	NA
"141"	"Solanaceae"	"Trop"	"Solanum_sanctae-catharinae"	NA	12	NA	NA	NA	NA	NA	0,000251729616486814	NA	NA	NA	NA
"218"	"Solanaceae"	"Trop"	"Solanum_swartzianum"	NA	1	1	30	NA	NA	NA	9,2416166413075e-05	1,33775167865201e-05	0,0020798890627484	NA	NA
"219"	"Styracaceae"	"Temp"	"Styrax_camporum"	NA	1	NA	NA	NA	NA	NA	9,00525342510276e-05	NA	NA	NA	NA
"245"	"Styracaceae"	"Temp"	"Styrax_leprosus"	NA	NA	6	NA	NA	4	NA	NA	0,000112108260741219	NA	NA	5,689047068713e-05
"179"	"Styracaceae"	"Temp"	"Styrax_pohlii"	NA	3	NA	NA	NA	NA	NA	3,72741947843126e-05	NA	NA	NA	NA
"269"	"Symplocaceae"	"Trop"	"Symplocos_celastrinea"	NA	NA	1	NA	NA	1	NA	NA	8,98433020188081e-06	NA	NA	9,55333821327082e-06
"257"	"Symplocaceae"	"Trop"	"Symplocos_estrellensis"	NA	NA	2	NA	NA	NA	NA	NA	1,96821586223467e-05	NA	NA	NA
"230"	"Symplocaceae"	"Trop"	"Symplocos_falcata"	NA	NA	67	67	3	10	NA	NA	0,00190564251181734	0,00210697550165716	7,56303452677943e-05	0,000198937995802373
"220"	"Symplocaceae"	"Trop"	"Symplocos_insignis"	NA	1	NA	NA	21	NA	NA	8,00957427774443e-06	NA	NA	0,00735976804778505	NA
"112"	"Symplocaceae"	"Trop"	"Symplocos_pubescens"	1	NA	NA	NA	NA	NA	5,92149879016158e-06	NA	NA	NA	NA	NA
"292"	"Symplocaceae"	"Trop"	"Symplocos_revoluta"	NA	NA	NA	NA	23	NA	NA	NA	NA	NA	0,0102583799780054	NA
"76"	"Symplocaceae"	"Trop"	"Symplocos_variabilis"	3	NA	NA	108	NA	NA	0,000112515167075787	NA	NA	0,00366773113614309	NA	NA
"314"	"Thymelaeaceae"	"Trop"	"Daphnopsis_sellowiana"	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	6,74699344525796e-06	NA
"181"	"Urticaceae"	"Trop"	"Cecropia_glaziovii"	NA	2	NA	NA	NA	NA	NA	0,000515217662675696	NA	NA	NA	NA
"196"	"Urticaceae"	"Trop"	"Cecropia_pachystachya"	NA	1	NA	NA	NA	NA	NA	1,7765641825322e-05	NA	NA	NA	NA
"260"	"Vochysiaceae"	"Trop"	"Callisthene_fasciculata"	NA	NA	1	NA	NA	NA	NA	NA	1,08051138428248e-05	NA	NA	NA
"114"	"Vochysiaceae"	"Trop"	"Vochysia_bifalcata"	1	NA	NA	NA	NA	NA	2,01063394590862e-05	NA	NA	NA	NA	NA
"180"	"Vochysiaceae"	"Trop"	"Vochysia_magnifica"	NA	3	NA	NA	NA	NA	NA	0,000287379735168512	NA	NA	NA	NA
"305"	"Vochysiaceae"	"Trop"	"Vochysia_saldanhana"	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	0,000136672747776574	NA
"226"	"Winteraceae"	"Temp"	"Drimys_brasiliensis"	NA	NA	214	420	1	20	NA	NA	0,00683159082990914	0,0272551135308218	0,000580965681637652	0,000251852104983299
