"Famyli"	"Fitogeography_origin"	"Genus and species"	"n_MF1"	"n_MF2"	"n_MF3"	"n_MF4"	"n_MF5"	"n_MF6"	"biomass_total_MF1 (Mg)"	"biomass_total_MF2(Mg)"	"biomass_total_MF3 (Mg)"	"biomass_total_MF4 (Mg)"	"biomass_total_MF5 (Mg)"	"biomass_total_MF6 (Mg)"
"48"	"Aquifoliaceae"	"Temp"	"Ilex_theezans"	7	NA	6	3	12	NA	0,107869852785925	NA	0,264567870143294	0,0285906411900528	0,464021523128253	NA
"126"	"Araliaceae"	"Trop"	"Dendropanax_cuneatus"	NA	22	NA	NA	NA	NA	NA	2,07252527235265	NA	NA	NA	NA
"216"	"Araliaceae"	"Trop"	"Schefflera_angustissima"	NA	1	NA	NA	NA	NA	NA	0,0875955097817653	NA	NA	NA	NA
"170"	"Araliaceae"	"Trop"	"Schefflera_calva"	NA	5	NA	NA	41	NA	NA	0,333042638305748	NA	NA	4,45952100900343	NA
"5"	"Araucariaceae"	"Temp"	"Araucaria_angustifolia"	109	9	82	57	37	96	28,5410798670084	12,7650813434517	71,6982560665353	52,0595035114106	22,2467024081011	46,0330925126563
"117"	"Arecaceae"	"Trop"	"Euterpe_edulis"	NA	88	NA	NA	NA	NA	NA	1,39103620496039	NA	NA	NA	NA
"75"	"Arecaceae"	"Trop"	"Syagrus_romanzoffiana"	3	54	NA	NA	NA	NA	0,368851131019635	7,55548415570941	NA	NA	NA	NA
"296"	"Asteraceae"	"Trop"	"Baccharis_oblongifolia"	NA	NA	NA	NA	22	NA	NA	NA	NA	NA	0,265221856771354	NA
"260"	"Asteraceae"	"Trop"	"Baccharis_oreophila"	NA	NA	1	NA	NA	7	NA	NA	0,160898556009866	NA	NA	0,221745554711037
"281"	"Asteraceae"	"Trop"	"Chromolaena_pedunculosa"	NA	NA	NA	1	NA	NA	NA	NA	NA	0,0145261110393408	NA	NA
"297"	"Asteraceae"	"Trop"	"Critoniopsis_stellata"	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	0,251464691495247	NA
"67"	"Asteraceae"	"Trop"	"Dasyphyllum_spinescens"	3	1	9	NA	NA	NA	2,07665337025603	0,00618202629310825	8,09071656663757	NA	NA	NA
"303"	"Asteraceae"	"Trop"	"Gochnatia_polymorpha"	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	1,42205923807793	NA
"337"	"Asteraceae"	"Trop"	"Moquiniastrum_polymorphum"	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	1,58650484538075
"107"	"Asteraceae"	"Trop"	"Piptocarpha_regnellii"	1	NA	23	20	35	39	0,305079595696621	NA	3,01689565201362	10,4711301951731	4,19900756124263	4,39037605245627
"286"	"Asteraceae"	"Trop"	"Vernonanthura_discolor"	NA	NA	NA	1	NA	NA	NA	NA	NA	0,141881270710991	NA	NA
"295"	"Asteraceae"	"Trop"	"Vernonanthura_divaricata"	NA	NA	NA	NA	23	NA	NA	NA	NA	NA	0,525591278218119	NA
"251"	"Asteraceae"	"Trop"	"Vernonia_discolor"	NA	NA	3	NA	NA	NA	NA	NA	0,170795668855427	NA	NA	NA
"61"	"Asteraceae"	"Trop"	"Vernonia_sp."	5	NA	NA	NA	NA	NA	0,181241292778313	NA	NA	NA	NA	NA
"321"	"Bignoniaceae"	"Trop"	"Handroanthus_ochraceus"	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	0,0367347056652609	NA
"340"	"Bignoniaceae"	"Trop"	"Jacaranda_cuspidifolia"	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	0,232790175552865
"132"	"Bignoniaceae"	"Trop"	"Jacaranda_micrantha"	NA	19	NA	NA	NA	NA	NA	6,43410869433418	NA	NA	NA	NA
"9"	"Bignoniaceae"	"Trop"	"Jacaranda_puberula"	81	NA	37	NA	1	NA	3,65356149427952	NA	2,58120656936613	NA	0,119649106418003	NA
"284"	"Bignoniaceae"	"Trop"	"Jacaranda_sp"	NA	NA	NA	1	NA	NA	NA	NA	NA	0,0167557065843359	NA	NA
"116"	"Bignoniaceae"	"Trop"	"Zeyheria_tuberculosa"	1	NA	NA	NA	NA	NA	0,0169852715670033	NA	NA	NA	NA	NA
"66"	"Boraginaceae"	"Trop"	"Cordia_sp."	3	NA	NA	NA	NA	NA	1,24782613740942	NA	NA	NA	NA	NA
"154"	"Boraginaceae"	"Trop"	"Patagonula_americana"	NA	7	NA	NA	NA	NA	NA	5,93980665785065	NA	NA	NA	NA
"92"	"Canellaceae"	"Trop"	"Capsicodendron_dinisii"	1	NA	NA	NA	NA	NA	0,682404271471428	NA	NA	NA	NA	NA
"136"	"Cannabaceae"	"Trop"	"Trema_micrantha"	NA	16	NA	NA	NA	NA	NA	0,197140253992051	NA	NA	NA	NA
"160"	"Cardiopteridaceae"	"Trop"	"Citronella_paniculata"	NA	6	1	2	NA	NA	NA	0,47790688722791	0,0152225797687027	0,0260008277733239	NA	NA
"139"	"Caricaceae"	"Trop"	"Jacaratia_heptaphylla"	NA	13	NA	NA	NA	NA	NA	3,16678919795663	NA	NA	NA	NA
"70"	"Celastraceae"	"Trop"	"Maytenus_aquifolia"	3	5	NA	NA	NA	NA	0,0611048070566377	0,492787698547187	NA	NA	NA	NA
"59"	"Celastraceae"	"Trop"	"Maytenus_evonymoides"	5	4	NA	NA	2	NA	0,241069666805378	0,0478569264374778	NA	NA	0,0928770693747857	NA
"254"	"Celastraceae"	"Trop"	"Maytenus_salicifolia"	NA	NA	2	NA	NA	NA	NA	NA	0,02914678413181	NA	NA	NA
"43"	"Celastraceae"	"Trop"	"Maytenus_sp.1"	8	NA	NA	NA	NA	NA	0,374638028437002	NA	NA	NA	NA	NA
"69"	"Chrysobalanaceae"	"Trop"	"Licania_kunthiana"	3	NA	NA	NA	NA	NA	2,39008583308916	NA	NA	NA	NA	NA
"199"	"Clethraceae"	"Trop"	"Clethra_scabra"	NA	1	9	96	8	3	NA	0,123671043558866	0,443855435083399	17,4393343610061	0,297415034879665	0,0419592231932265
"223"	"Combretaceae"	"Trop"	"Terminalia_triflora"	NA	1	NA	NA	NA	NA	NA	0,0342290542687836	NA	NA	NA	NA
