Family;Species ;Phyto. Ori.;Aboveground Biomass (Mg.ha-1);;;;;;Species Abundance (ha-1);;;;;
;;;MF1;MF2;MF3;MF4;MF5;MF6;MF1;MF2;MF3;MF4;MF5;MF6
;Sebastiania brasiliensis;Trop;;;;;2,232;;;;;;24;
;Tetrorchidium rubrivenium;Trop;;0,132;;;;;;7;;;;
Fabaceae;;;;;;;;;;;;;;
;Abarema langsdorffii;Trop;0,029;;;;;;1;;;;;
;Acacia polyphylla;Trop;;0,012;;;;;;1;;;;
;Anadenanthera sp.;Trop;0,552;;;;;;6;;;;;
;Cassia leptophylla;Trop;1,472;0,993;;;;;6;1;;;;
;Copaifera langsdorffii;Trop;0,514;0,764;;;;;2;3;;;;
;Copaifera trapezifolia;Trop;;1,002;;;;;;21;;;;
;Dalbergia brasiliensis;Trop;2,686;;;;3,288;;5;;;;28;
;Dalbergia myriantha;Trop;;;;;0,071;;;;;;3;
;Enterolobium sp.;Trop;0,193;;;;;;2;;;;;
;Erythrina falcata;Trop;0,634;;;;;;7;;;;;
;Exostyles godoyensis;Trop;0,079;1,749;;;;;2;19;;;;
;Holocalyx glaziovii;Trop;;0,080;;;;;;2;;;;
;Inga edwalii;Trop;;;;;0,006;;;;;;1;
;Inga marginata;Trop;;0,282;;;;;;10;;;;
;Inga sessilis;Trop;;0,023;;;;;;2;;;;
;Inga striata;Trop;;1,717;;;;;;18;;;;
;Leucochloron incuriale;Trop;;;;;0,009;;;;;;1;
;Lonchocarpus campestris;Trop;0,983;;;;;;5;;;;;
;Lonchocarpus cultratus;Trop;0,099;;;;;;5;;;;;
;Machaerium brasiliense;Trop;1,856;;;;;;37;;;;;
;Machaerium hatschbachii;Trop;1,392;;;;;;12;;;;;
;Machaerium nyctitans;Trop;0,326;10,291;;;;;6;18;;;;
;Machaerium paraguariense;Trop;;4,414;;;;;;26;;;;
;Machaerium scleroxylon;Trop;0,058;9,837;;;;;2;13;;;;
;Machaerium sp.;Trop;0,888;;;;;;6;;;;;
;Machaerium stipitatum;Trop;7,330;5,221;;;;;69;17;;;;16
;Machaerium villosum;Trop;;;;;0,154;;;;;;2;
;Mimosa scabrella;Trop;;;1,526;;;0,767;;;2;;;
;Ormosia sp.;Trop;;;;;0,035;;;;;;1;
;Parapiptadenia rigida;Trop;;30,040;;;;;;29;;;;
;Piptadenia gonoacantha;Trop;2,373;3,338;;;;;7;6;;;;
;Poecilanthe parviflora;Trop;3,672;;;;;;3;;;;;
;Senna macranthera;Trop;;;;;0,007;;;;;;1;
;Senna multijuga;Trop;0,058;;;;;;2;;;;;
;Swartzia acutifolia;Trop;8,499;;;;;;118;;;;;
Lamiaceae;;;;;;;;;;;;;;
;Aegiphila integrifolia;Trop;;;0,146;;;;;;1;;;
;Vitex polygama;Trop;0,468;;;;;;10;;;;;
Lauraceae;;;;;;;;;;;;;;
;Aiouea glaziovii;Trop;;;;0,006;;;;;;1;;
;Aiouea montana;Trop;;;;0,033;;;;;;2;;
;Aiouea sellowianum;Trop;;;11,328;0,219;;;;;95;7;;
;Cinnamomum microneurum;Trop;;;;0,019;;;;;;2;;
;Cinnamomum sp.1;Trop;0,004;;;;;;1;;;;;
;Endlicheria paniculata;Trop;0,030;0,015;;;0,018;;2;2;;;1;
;Nectandra angustifolia;Trop;0,074;;;;;;2;;;;;
;Nectandra lanceolata;Trop;;3,759;;;;;;5;;;;
;Nectandra megapotamica;Trop;;0,966;;;;;;8;;;;
;Nectandra nitidula;Trop;;;;;2,092;;;;;;23;
;Nectandra oppositifolia;Trop;;0,129;;;0,009;;;1;;;1;
;Ocotea bicolor;Trop;0,125;0,972;0,356;0,036;2,875;;1;6;9;3;23;
;Ocotea brachybotra;Trop;0,296;;;;;;18;;;;;
;Ocotea corymbosa;Trop;;1,196;;;1,788;;;9;;;21;
